(0, (HighCard [Two; Three; Seven; Ace; King], 253))
(1, (HighCard [Two; Five; Six; Jack; Ten], 524))
(2, (HighCard [Two; Five; Seven; King; Three], 656))
(3, (HighCard [Two; Five; Nine; Three; Four], 675))
(4, (HighCard [Two; Five; Jack; Seven; Ten], 46))
(5, (HighCard [Two; Six; Three; Five; Eight], 674))
(6, (HighCard [Two; Seven; Nine; Jack; Eight], 106))
(7, (HighCard [Two; Jack; Five; Queen; Ace], 465))
(8, (HighCard [Two; Jack; Six; Queen; Eight], 707))
(9, (HighCard [Two; Jack; Eight; Four; Ace], 113))
(10, (HighCard [Two; Jack; Ten; Queen; King], 479))
(11, (HighCard [Two; Queen; King; Jack; Eight], 279))
(12, (HighCard [Two; King; Five; Queen; Eight], 752))
(13, (HighCard [Two; King; Nine; Ace; Five], 100))
(14, (HighCard [Two; King; Queen; Ten; Eight], 823))
(15, (HighCard [Two; King; Ace; Eight; Four], 914))
(16, (HighCard [Three; Two; Four; Jack; Nine], 283))
(17, (HighCard [Three; Two; King; Jack; Queen], 897))
(18, (HighCard [Three; Four; Six; Jack; King], 261))
(19, (HighCard [Three; Four; Ten; Two; Jack], 857))
(20, (HighCard [Three; Four; Ace; Five; Seven], 552))
(21, (HighCard [Three; Five; Ace; Six; Two], 231))
(22, (HighCard [Three; Six; King; Seven; Nine], 195))
(23, (HighCard [Three; Seven; Jack; Four; Nine], 193))
(24, (HighCard [Three; Seven; Ace; Eight; King], 273))
(25, (HighCard [Three; Eight; Six; King; Two], 167))
(26, (HighCard [Three; Nine; Two; Six; Eight], 119))
(27, (HighCard [Three; Nine; Two; Jack; Seven], 739))
(28, (HighCard [Three; Nine; Eight; Two; Ace], 48))
(29, (HighCard [Three; Nine; Eight; Ten; Seven], 141))
(30, (HighCard [Three; Nine; King; Jack; Eight], 762))
(31, (HighCard [Three; Ten; Nine; King; Ace], 974))
(32, (HighCard [Three; Jack; Two; Six; Ace], 725))
(33, (HighCard [Three; Queen; Nine; Ten; Eight], 138))
(34, (HighCard [Three; King; Nine; Five; Ten], 562))
(35, (HighCard [Three; Ace; Two; Four; Eight], 446))
(36, (HighCard [Four; Two; Eight; Five; Jack], 533))
(37, (HighCard [Four; Two; Nine; Ace; Eight], 449))
(38, (HighCard [Four; Three; Seven; Five; Nine], 265))
(39, (HighCard [Four; Five; Three; Queen; Seven], 767))
(40, (HighCard [Four; Six; Queen; Ten; Two], 548))
(41, (HighCard [Four; Eight; Ten; Queen; Two], 476))
(42, (HighCard [Four; Nine; Ten; Two; Five], 912))
(43, (HighCard [Four; Nine; Ten; Eight; Six], 630))
(44, (HighCard [Four; Ten; Five; Jack; King], 588))
(45, (HighCard [Four; Jack; Five; Queen; Six], 280))
(46, (HighCard [Four; Queen; Five; Two; Ace], 885))
(47, (HighCard [Four; King; Nine; Six; Eight], 903))
(48, (HighCard [Four; King; Ten; Nine; Five], 921))
(49, (HighCard [Four; Ace; Two; Nine; Ten], 398))
(50, (HighCard [Four; Ace; King; Three; Ten], 747))
(51, (HighCard [Five; Two; Three; Queen; Ten], 347))
(52, (HighCard [Five; Four; Eight; King; Ten], 886))
(53, (HighCard [Five; Four; Ace; Jack; King], 879))
(54, (HighCard [Five; Six; Seven; Queen; Eight], 114))
(55, (HighCard [Five; Six; King; Ace; Eight], 386))
(56, (HighCard [Five; Seven; Four; Nine; Eight], 372))
(57, (HighCard [Five; Ten; King; Nine; Seven], 907))
(58, (HighCard [Five; Jack; King; Three; Two], 390))
(59, (HighCard [Five; King; Queen; Ten; Three], 733))
(60, (HighCard [Six; Three; Four; Seven; Two], 867))
(61, (HighCard [Six; Three; Eight; Nine; King], 824))
(62, (HighCard [Six; Three; Queen; Ten; Two], 804))
(63, (HighCard [Six; Three; King; Two; Nine], 491))
